,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
56,BOILER ROOM COFFEE,1830 3RD AVE S,44.96431,-93.27313,"[[45078, 201291, 281373]]","[['2017/06/12', '2018/12/11', '2019/02/06']]","[['Routine', 'Routine', 'Follow-Up']]","[[96, 92, 100]]"
57,BOMBAY PALACE,701 HENNEPIN AVE,44.97767,-93.27455,"[[45208, 231649, 234860, 231648, 278678, 278677, 335277, 338376]]","[['2017/10/24', '2017/12/07', '2018/01/17', '2018/11/01', '2018/12/03', '2019/10/29', '2019/12/05', '2019/12/12']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[66, 94, 100, 84, 100, 82, 90, 98]]"
58,BONA RESTAURANT,815 WASHINGTON AVE SE,44.97385,-93.22626,"[[45230, 203851, 203850, 255601, 265003, 255600, 320414]]","[['2017/07/11', '2017/08/03', '2018/07/23', '2018/08/10', '2018/08/16', '2019/07/23', '2019/08/29']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[76, 96, 70, 92, 94, 90, 100]]"
59,BONCHON,1414 LAKE ST W,44.94854,-93.29789,"[[270814, 279707, 279706]]","[['2018/11/09', '2018/12/12', '2019/11/18']]","[['Routine', 'Follow-Up', 'Routine']]","[[70, 94, 94]]"
60,BOROUGH,730 WASHINGTON AVE N #114/B02,44.98875,-93.2777,"[[45331, 192113, 192112, 247008, 249040, 251860, 247007, 308088]]","[['2017/03/06', '2017/04/25', '2018/03/29', '2018/05/01', '2018/05/30', '2018/07/12', '2019/04/10', '2019/05/16']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[80, 96, 66, 86, 94, 100, 90, 98]]"
61,BRASA ROTISSERIE,600 HENNEPIN AVE E,44.98947,-93.2513,"[[45390, 202179, 202178, 253127, 258657, 253126, 313774]]","[['2017/06/13', '2017/08/02', '2018/06/12', '2018/07/26', '2018/08/27', '2019/06/12', '2019/07/25']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 100, 90, 90, 94, 90, 92]]"
62,BREAKFAST BAR OF MN,319 1ST AVE N #100,44.98134,-93.27176,[[314801]],[['2019/08/30']],[['Routine']],[[98]]
63,BREAKING BREAD FOODS / KINDRED KITCHEN,1200 WEST BROADWAY,44.9994,-93.29608,"[[45495, 203776, 203775, 256262, 256261]]","[['2017/06/27', '2017/08/10', '2018/07/11', '2018/09/17', '2019/07/10']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[82, 100, 90, 100, 70]]"
64,BRIM,2919 KNOX AVE S,44.94858,-93.30461,"[[277942, 286877]]","[['2019/01/02', '2020/01/07']]","[['Routine', 'Routine']]","[[92, 94]]"
65,BROADWAY STATION,2025 WEST RIVER RD N,44.99979,-93.27788,"[[52373, 207392, 207391, 262134, 320015]]","[['2017/07/20', '2017/08/18', '2018/08/06', '2019/07/31', '2019/09/18']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[96, 100, 100, 84, 100]]"
