,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
260,HOLY LAND BAKERY & DELI,2513 CENTRAL AVE NE,45.01368,-93.2468,"[[180547, 180546, 234231, 234230, 281290]]","[['2017/01/26', '2017/11/21', '2018/01/08', '2018/11/21', '2019/11/18']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine']]","[[100, 92, 100, 100, 94]]"
261,HOLY LAND BRAND,2513 CENTRAL AVE NE,45.01368,-93.2468,"[[180550, 180549, 124985, 234248, 285899]]","[['2017/01/26', '2017/11/21', '2018/12/17', '2018/12/17', '2019/12/06']]","[['Follow-Up', 'Routine', 'Routine', 'Routine', 'Routine']]","[[96, 96, 100, 100, 98]]"
262,HOLY LAND MIDTOWN,920 LAKE ST E #145,44.94931,-93.26076,"[[33617, 33650, 204669, 204667, 33615, 204668, 204666, 254676, 254675]]","[['2017/07/18', '2017/07/18', '2017/08/16', '2017/08/16', '2018/07/16', '2018/07/16', '2018/07/16', '2019/07/09', '2019/07/09']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Routine', 'Routine']]","[[92, 92, 100, 100, 96, 98, 96, 94, 94]]"
263,HONG KONG NOODLE RESTAURANT,901 WASHINGTON AVE SE,44.97381,-93.22527,"[[33696, 213985, 213984, 266577, 327330]]","[['2017/08/08', '2017/09/29', '2018/08/22', '2019/08/29', '2019/10/28']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[70, 96, 94, 84, 94]]"
264,HOOK FISH & CHICKEN,1127 WEST BROADWAY,44.99888,-93.2953,"[[263923, 276812, 333927, 337868]]","[['2018/10/17', '2019/10/17', '2019/11/26', '2020/01/07']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up']]","[[96, 84, 84, 94]]"
265,HOP21,501 WASHINGTON AVE S,44.97837,-93.26124,"[[124866, 236912, 286270]]","[['2017/12/28', '2018/12/11', '2019/12/05']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 94]]"
266,HOPCAT,435 NICOLLET MALL,44.97883,-93.2697,"[[214908, 232576, 279489]]","[['2017/11/08', '2018/11/15', '2019/11/15']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 94]]"
267,HOT INDIAN FOODS,920 LAKE ST E #124,44.94931,-93.26076,"[[39500, 39506, 200643, 201609, 200642, 251866, 251493]]","[['2017/06/01', '2017/06/15', '2017/06/29', '2018/05/28', '2018/06/01', '2019/05/30', '2019/06/14']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Routine']]","[[88, 100, 96, 96, 96, 100, 96]]"
268,HOT INDIAN FOODS,121 8TH ST S #STE 242,44.97441,-93.27109,"[[249567, 254525, 254524]]","[['2018/07/13', '2018/08/15', '2019/07/10']]","[['Routine', 'Follow-Up', 'Routine']]","[[80, 96, 96]]"
269,HOT PLATE 2.0,5204 BLOOMINGTON AVE,44.90863,-93.25284,"[[203703, 246077, 246076]]","[['2018/03/15', '2018/05/17', '2019/05/17']]","[['Routine', 'Follow-Up', 'Routine']]","[[92, 100, 96]]"
270,ICEHOUSE,2528 NICOLLET AVE,44.9562,-93.27839,"[[192319, 230313, 230312, 276341, 334792]]","[['2017/10/17', '2017/12/21', '2018/10/17', '2019/10/23', '2019/12/11']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[94, 100, 96, 84, 100]]"
271,ICHIDDO RAMEN,2710 NICOLLET AVE,44.95345,-93.27838,"[[20841, 197871, 203946, 242316]]","[['2017/05/05', '2017/06/12', '2018/05/07', '2019/05/10']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[92, 92, 100, 96]]"
272,ICHIDDO RAMEN,1501 UNIVERSITY AVE SE #130,44.97901,-93.2346,"[[235487, 245688, 248351, 245687, 304329, 310433]]","[['2018/02/27', '2018/04/19', '2018/05/31', '2019/03/12', '2019/05/01', '2019/06/11']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[86, 86, 92, 76, 90, 92]]"
273,IDEAL DINER,1314 CENTRAL AVE NE,45.00156,-93.24775,"[[40102, 225588, 274226, 274225]]","[['2017/09/13', '2018/09/13', '2018/11/21', '2019/09/13']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[96, 88, 100, 98]]"
274,IE,4724 CEDAR AVE S,44.91703,-93.2477,"[[124470, 237420, 237419, 294809, 294808, 340576]]","[['2017/12/28', '2018/03/07', '2019/01/10', '2019/03/07', '2020/01/09', '2020/01/29']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 100, 92, 100, 80, 100]]"
275,IGRILL,331 2ND AVE S #206,44.97862,-93.26647,"[[226722, 236835, 236834, 281543, 294596, 281542, 338756]]","[['2017/12/15', '2018/02/12', '2018/12/12', '2019/01/29', '2019/03/13', '2019/12/10', '2020/01/08']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 98, 68, 92, 100, 58, 96]]"
276,ILLUSION THEATER,528 HENNEPIN AVE,44.9794,-93.27351,"[[40181, 185802]]","[['2017/01/12', '2019/01/23']]","[['Routine', 'Routine']]","[[100, 100]]"
277,INDIA PALACE,2546 HENNEPIN AVE,44.95613,-93.29692,"[[47047, 225654, 271364, 271363, 330225, 336508]]","[['2017/09/06', '2018/09/06', '2018/11/08', '2019/09/23', '2019/10/29', '2020/01/31']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[92, 90, 100, 70, 88, 86]]"
278,INTERNATIONAL CUISINE BAR & GRILL REST,3508 LAKE ST E,44.94866,-93.2211,"[[47181, 181084, 47182, 233844, 233843, 280713, 293002, 280712, 338018]]","[['2017/01/04', '2017/02/21', '2017/11/22', '2018/01/11', '2018/11/29', '2019/01/24', '2019/03/14', '2019/11/26', '2020/01/02']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 96, 94, 98, 86, 94, 98, 86, 92]]"
279,IRON DOOR PUB,3001 LYNDALE AVE S,44.94812,-93.28775,"[[47220, 220599, 230376, 220598, 270805, 270804]]","[['2017/08/21', '2017/10/19', '2017/12/22', '2018/08/28', '2018/10/24', '2019/08/28']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[78, 96, 96, 90, 94, 100]]"
280,JAKEENOS PIZZA & PASTA,3555 CHICAGO AVE,44.93802,-93.26228,"[[47411, 231984, 275159]]","[['2017/10/24', '2018/10/03', '2019/10/28']]","[['Routine', 'Routine', 'Routine']]","[[100, 96, 96]]"
281,JASMINE 26 RESTAURANT & BAR,8 26TH ST E #C102,44.95573,-93.27723,"[[47553, 202361, 253058]]","[['2017/06/22', '2018/06/19', '2019/06/19']]","[['Routine', 'Routine', 'Routine']]","[[98, 100, 98]]"
282,JASMINE DELI,2532 NICOLLET AVE,44.9562,-93.27839,"[[47582, 201607, 252456]]","[['2017/06/14', '2018/06/12', '2019/06/12']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 94]]"
283,JAX CAFE,1922 UNIVERSITY AVE NE,45.00833,-93.26356,"[[54355, 191101, 191076, 245167]]","[['2017/02/21', '2017/02/23', '2018/02/21', '2019/02/21']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[86, 94, 98, 90]]"
284,JEFE,219 MAIN ST SE,44.98464,-93.25398,"[[54392, 228054, 275272, 275271, 331964]]","[['2017/09/20', '2018/09/25', '2018/11/14', '2019/09/25', '2019/11/07']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[94, 96, 100, 88, 100]]"
285,JEWEL OF INDIA,1427 WASHINGTON AVE S,44.97297,-93.24815,"[[54577, 190581, 188177, 242836]]","[['2017/01/11', '2017/03/29', '2018/02/07', '2019/08/13']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[66, 100, 100, 94]]"
286,JIMMIE'S OLD SOUTHERN BBQ SMOKEHOUSE LLC,4501 FRANCE AVE S,44.92112,-93.32874,"[[188929, 203066, 224322, 253465]]","[['2017/06/29', '2017/08/28', '2018/06/21', '2019/06/21']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[92, 96, 100, 94]]"
287,JIMMY JOHN'S,219 OAK ST SE,44.974,-93.22666,"[[54718, 189674]]","[['2017/01/31', '2018/08/10']]","[['Routine', 'Routine']]","[[98, 94]]"
288,JUN,730 WASHINGTON AVE N #140,44.98875,-93.2777,"[[224933, 226814, 226813, 272073, 272072, 329986, 334607]]","[['2017/09/15', '2017/10/24', '2018/09/14', '2018/10/26', '2019/09/19', '2019/10/23', '2019/11/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[70, 100, 78, 86, 86, 78, 98]]"
289,KADAI INDIAN KITCHEN,601 MARQUETTE AVE #200,44.97686,-93.26995,"[[61638, 205261, 225339, 205260, 260743, 260742, 318644]]","[['2017/07/19', '2017/09/12', '2017/11/09', '2018/08/01', '2018/09/20', '2019/07/30', '2019/09/03']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[78, 92, 98, 68, 92, 78, 100]]"
290,KADO NO MISE/KAISEKI FURUKAWA,30 1ST ST N,44.98471,-93.26741,"[[279165, 280355, 280354]]","[['2018/11/26', '2019/02/13', '2019/12/05']]","[['Routine', 'Follow-Up', 'Routine']]","[[74, 96, 94]]"
291,KAFE 421,421 14TH AVE SE,44.98119,-93.2356,"[[61667, 188947, 237313, 237312, 286912, 286911]]","[['2017/01/12', '2018/01/04', '2018/02/16', '2019/01/07', '2019/02/07', '2020/01/13']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 92, 98, 84, 92, 100]]"
292,KATAR MEAT MARKET,2751 MINNEHAHA AVE,44.95253,-93.23521,"[[61778, 211869, 255511]]","[['2017/08/02', '2018/07/19', '2019/08/02']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 100]]"
293,KATAR RIVER RESTAURANT & BAKERY,2751 MINNEHAHA AVE,44.95253,-93.23521,"[[61818, 255499, 211867, 255516, 270251, 255515, 320616]]","[['2017/08/02', '2018/07/19', '2018/07/19', '2018/08/31', '2018/10/23', '2019/08/02', '2019/09/26']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 100, 90, 88, 98, 88, 100]]"
294,KBOP KOREAN BISTRO,425 13TH AVE SE,44.9819,-93.23704,"[[61824, 214852, 258596, 258595, 319135]]","[['2017/07/26', '2018/07/25', '2018/09/05', '2019/07/25', '2019/09/03']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 86, 100, 82, 98]]"
295,KEEFER COURT FOOD,326 CEDAR AVE S,44.97054,-93.24758,"[[61852, 226950, 272273]]","[['2017/08/23', '2018/09/19', '2019/09/19']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 100]]"
296,KEN AND NORM'S LIQUOR,4801 CHICAGO AVE,44.91588,-93.26238,[[61940]],[['2018/06/05']],[['Routine']],[[100]]
297,KENWOOD THE,2115 21ST ST W,44.96161,-93.30802,"[[24036, 181045, 181044, 243439, 243438]]","[['2017/01/04', '2017/03/15', '2018/02/09', '2018/04/27', '2019/02/08']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[82, 100, 94, 94, 94]]"
298,KEYS AT THE FOSHAY BAR & GRILL,114 9TH ST S #FOSHAY TOW,44.97448,-93.2718,"[[12927, 224158, 224157, 271973, 271972, 328542]]","[['2017/08/25', '2017/09/18', '2018/09/12', '2018/10/09', '2019/08/28', '2019/09/26']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 100, 88, 96, 72, 98]]"
299,KHAO HOM THAI RESTAURANT,2411 CENTRAL AVE NE,45.01263,-93.24694,"[[233249, 242007, 290667, 290666, 340626]]","[['2018/01/16', '2019/01/16', '2019/02/26', '2020/01/13', '2020/01/27']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 86, 100, 86, 100]]"
300,KHUNNAI THAI CUISINE,2523 NICOLLET AVE,44.95649,-93.27747,"[[220525, 232477, 279907]]","[['2017/11/06', '2018/11/13', '2019/11/18']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 94]]"
301,KIKU BISTRO,2819 HENNEPIN AVE,44.9512,-93.29787,"[[13064, 13065, 243836, 243221]]","[['2017/02/10', '2018/02/08', '2018/04/25', '2019/02/08']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 82, 98, 96]]"
302,KIMCHI TOFU HOUSE,307 OAK ST SE,44.97329,-93.22678,"[[247165, 277439, 277438, 335787]]","[['2018/10/26', '2018/12/05', '2019/10/29', '2019/12/03']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 100, 88, 100]]"
303,KINDEE,719 2ND ST S,44.97796,-93.25735,"[[181033, 237293, 287084, 287083]]","[['2018/01/02', '2019/01/02', '2019/04/24', '2020/01/15']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[96, 86, 100, 96]]"
304,KINHDO RESTAURANT,2755 HENNEPIN AVE,44.95213,-93.29785,"[[13323, 202065, 202064, 254025, 254024]]","[['2017/06/22', '2017/09/06', '2018/06/21', '2018/09/25', '2019/06/21']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[92, 100, 90, 100, 92]]"
305,KNIGHT CAP,1500 4TH ST NE,45.00322,-93.26188,"[[29904, 202338, 205355, 202337, 253173]]","[['2017/06/12', '2017/07/07', '2017/08/24', '2018/06/12', '2019/06/11']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine']]","[[94, 100, 100, 100, 92]]"
306,KOREA RESTAURANT,211 OAK ST SE,44.97433,-93.22675,"[[314648, 328983]]","[['2019/08/27', '2019/09/10']]","[['Routine', 'Follow-Up']]","[[82, 96]]"
307,KOWLOON RESTAURANT,935 WASHINGTON AVE SE,44.97394,-93.22448,"[[13715, 194197, 247029, 247028, 307440, 313370]]","[['2017/03/29', '2018/03/27', '2018/05/16', '2019/04/02', '2019/06/11', '2019/08/06']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[100, 60, 96, 94, 90, 94]]"
308,KRISPY KRUNCHY CHICKEN,2700 UNIVERSITY AVE SE,44.97185,-93.21849,"[[254776, 271496]]","[['2018/09/11', '2019/09/09']]","[['Routine', 'Routine']]","[[96, 92]]"
309,KWANS,5412 PENN AVE S,44.90457,-93.30906,"[[20886, 228810, 228809, 276568, 334124]]","[['2017/10/10', '2017/11/30', '2018/10/17', '2019/10/17', '2019/11/20']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[84, 96, 98, 90, 100]]"
310,KYATCHI,3758 NICOLLET AVE,44.93444,-93.27824,"[[20916, 192173, 194748, 192172, 246333, 251278, 246332]]","[['2017/02/28', '2017/04/06', '2017/05/17', '2018/03/07', '2018/05/10', '2018/08/02', '2019/04/18']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[86, 88, 100, 90, 100, 100, 98]]"
311,KYOTO SUSHI,2841 LYNDALE AVE S,44.95067,-93.28742,"[[276928, 277480]]","[['2018/10/26', '2019/10/28']]","[['Routine', 'Routine']]","[[94, 94]]"
312,LA ALBORADA MARKET,1855 LAKE ST E,44.94805,-93.24523,"[[20983, 21022, 21010, 203243, 20964, 203244, 212552, 203242, 253361, 253356, 253358, 253359, 253355]]","[['2017/06/21', '2017/06/21', '2017/06/27', '2017/07/27', '2018/06/19', '2018/06/19', '2018/06/19', '2018/06/19', '2018/07/12', '2018/07/12', '2019/06/12', '2019/06/12', '2019/06/12']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Routine']]","[[96, 92, 100, 94, 100, 100, 100, 94, 100, 100, 100, 100, 98]]"
313,LA COLONIA RESTAUTANT,2205 CENTRAL AVE NE,45.01009,-93.24683,"[[21148, 210693, 262018]]","[['2017/07/24', '2018/07/24', '2019/07/23']]","[['Routine', 'Routine', 'Routine']]","[[90, 98, 92]]"
314,LA FRESCA,4750 GRAND AVE S,44.91617,-93.2848,"[[249669, 267434, 267433, 330028]]","[['2018/08/16', '2018/11/28', '2019/09/05', '2019/12/05']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[76, 100, 66, 96]]"
315,LA LOMA TAMALES,608 2ND AVE S #164,44.97664,-93.26943,"[[21284, 190572, 193115, 189706, 242805]]","[['2017/01/30', '2017/03/17', '2017/04/24', '2018/02/13', '2019/02/15']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine']]","[[86, 92, 100, 100, 100]]"
316,LA LOMA TAMALES,920 LAKE ST E #160,44.94931,-93.26076,"[[21261, 191376, 243007, 295144, 295143]]","[['2017/02/21', '2018/02/14', '2019/02/04', '2019/06/21', '2020/02/03']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 100, 86, 100, 86]]"
317,LA MESA,230 CEDAR LAKE RD S,44.97484,-93.30682,"[[236501, 252078]]","[['2018/05/08', '2019/11/15']]","[['Routine', 'Routine']]","[[98, 100]]"
318,LA MEXICANA #1,1522 LAKE ST E,44.94865,-93.25206,"[[180755, 234955, 234954, 285092, 285091, 339592]]","[['2017/12/07', '2018/01/11', '2018/12/05', '2019/01/14', '2019/12/11', '2020/01/14']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[94, 96, 90, 100, 90, 100]]"
319,LA MICHOACANA PUREPECHA,920 LAKE ST E #104,44.94931,-93.26076,"[[334184, 339722]]","[['2019/12/23', '2020/01/08']]","[['Routine', 'Follow-Up']]","[[84, 96]]"
320,LA POBLANITA,1617 LAKE ST E,44.94808,-93.25036,"[[21345, 21358, 226818, 228032, 226858, 226856, 226857, 226855, 273873, 228031, 273874, 273872, 330603]]","[['2017/09/22', '2017/09/22', '2017/09/22', '2017/10/23', '2017/10/23', '2017/10/23', '2018/09/13', '2018/09/13', '2018/10/30', '2019/09/03', '2019/09/03', '2019/09/03', '2019/10/15']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Follow-Up']]","[[94, 92, 86, 100, 96, 96, 96, 96, 100, 94, 90, 92, 100]]"
321,LA SOCIETE DU THE,2708 LYNDALE AVE S,44.95339,-93.28848,"[[124652, 252910]]","[['2018/06/11', '2019/12/11']]","[['Routine', 'Routine']]","[[100, 100]]"
322,LAGO TACOS LYNLAKE,2901 LYNDALE AVE S,44.95009,-93.28765,"[[27432, 228775, 217479, 271646, 329621]]","[['2017/08/16', '2017/10/05', '2018/09/11', '2019/09/11', '2019/10/10']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[88, 96, 96, 88, 100]]"
323,LAKE & IRVING RESTAURANT & BAR,1513 LAKE ST W,44.94813,-93.30156,"[[27490, 190091, 190090, 245407, 245406, 305008]]","[['2017/02/08', '2017/03/22', '2018/02/26', '2018/04/20', '2019/03/19', '2019/05/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 96, 80, 96, 90, 98]]"
324,LAKE HARRIET PIZZA,5009 PENN AVE S,44.91194,-93.30832,"[[27596, 189462, 243388, 243387, 302212]]","[['2017/01/24', '2018/02/13', '2018/04/12', '2019/02/28', '2019/04/17']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 92, 100, 88, 100]]"
325,"LAKE STREET HALAAL MARKET, LLC",1530 LAKE ST E,44.94865,-93.25206,"[[314649, 314650]]","[['2019/08/07', '2019/08/07']]","[['Routine', 'Routine']]","[[100, 98]]"
326,LAKE STREET TOBACCO,812 LAKE ST E,44.94864,-93.26228,[[125016]],[['2018/12/05']],[['Routine']],[[100]]
327,LANDS END PASTY COMPANY,1314 4TH ST SE,44.98044,-93.23657,"[[27741, 205244, 254327]]","[['2017/07/11', '2018/07/11', '2019/07/10']]","[['Routine', 'Routine', 'Routine']]","[[96, 96, 94]]"
328,LAO SZE CHUAN,304 OAK ST SE,44.97333,-93.22759,"[[274988, 286918, 286917, 340217]]","[['2019/01/03', '2019/02/13', '2020/01/02', '2020/01/15']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 96, 86, 86]]"
329,LATINO GROCERIES,2312 CENTRAL AVE NE,45.01133,-93.24788,"[[27862, 27872, 232051, 232054]]","[['2017/11/02', '2017/11/02', '2019/05/01', '2019/05/01']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[96, 100, 98, 100]]"
330,LEANING TOWER OF PIZZA,2324 LYNDALE AVE S,44.95927,-93.28846,"[[27977, 232272, 279820]]","[['2017/11/02', '2018/11/16', '2019/11/18']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 100]]"
331,LEGENDARY SPICE,317 HURON BLVD SE,44.97321,-93.22313,"[[243479, 243641, 243640, 304716]]","[['2018/02/23', '2018/04/23', '2019/03/12', '2019/05/13']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[78, 96, 82, 92]]"
332,LIEN SON RESTAURANT,1216 BROADWAY ST NE,44.99857,-93.24136,"[[203712, 227577, 227576, 275499, 333918]]","[['2017/10/04', '2017/11/08', '2018/10/15', '2019/10/15', '2019/11/08']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[82, 98, 96, 78, 98]]"
333,LINDEN HILLS CO-OP,3815 SUNNYSIDE AVE,44.92194,-93.32843,"[[233541, 233542, 233543, 275066, 275064, 275065]]","[['2018/10/02', '2018/10/02', '2018/10/02', '2018/11/21', '2019/10/02', '2019/10/02']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine']]","[[100, 100, 82, 100, 100, 100]]"
334,LISTO! FRESH MEXICAN GRILL,1730 NEW BRIGHTON BLVD,45.00562,-93.22787,"[[245839, 251233, 251232, 337553]]","[['2018/05/22', '2018/06/27', '2019/11/20', '2019/12/18']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 92, 90, 98]]"
335,LITTLE TIJUANA CAFE,17 26TH ST E,44.95533,-93.27711,"[[124448, 233141, 281041]]","[['2017/11/16', '2018/12/05', '2019/12/11']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 92]]"
336,LOEWS HOTEL - APOTHECARY RESTAURANT,601 1ST AVE N,44.97879,-93.27485,"[[40295, 190223, 237049, 286499]]","[['2017/02/02', '2018/01/02', '2018/12/26', '2019/12/20']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[94, 100, 96, 98]]"
337,LONGFELLOW GRILL,2990 WEST RIVER PKWY,44.94864,-93.20658,"[[40350, 190595, 189149, 243023, 243022, 303279]]","[['2017/01/24', '2017/03/29', '2018/02/14', '2018/04/06', '2019/03/05', '2019/05/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 96, 92, 96, 84, 94]]"
338,LOON GROCERY & DELI,2501 LYNDALE AVE S,44.95714,-93.28761,"[[40466, 199864, 199863, 251212, 251211]]","[['2017/05/22', '2017/07/07', '2018/05/22', '2018/07/13', '2019/05/21']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 100, 92, 100, 94]]"
339,LOON GROCERY AND DELI,2501 LYNDALE AVE S,44.95714,-93.28761,"[[40440, 199843]]","[['2017/05/22', '2019/05/21']]","[['Routine', 'Routine']]","[[96, 100]]"
340,LOON SMOKESHOP,2503 LYNDALE AVE S,44.95714,-93.28761,[[262865]],[['2018/10/09']],[['Routine']],[[100]]
341,LOTUS TO GO,113 GRANT ST W,44.9696,-93.27993,"[[40716, 226978, 230974, 216077, 264422, 264421, 324735, 328653, 331329, 335402]]","[['2017/08/09', '2017/10/24', '2017/11/08', '2018/08/13', '2018/09/17', '2019/08/13', '2019/09/05', '2019/10/03', '2019/10/30', '2019/12/11']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up']]","[[92, 96, 96, 78, 96, 74, 78, 86, 86, 98]]"
342,LOWRY HILL LIQUORS,1922 HENNEPIN AVE #1ST FLOOR,44.96346,-93.29117,[[40842]],[['2018/06/07']],[['Routine']],[[100]]
343,LOWRY HILL MEATS,1934 HENNEPIN AVE #102,44.96302,-93.29152,"[[40844, 40846, 203422, 203421, 203407, 254753, 254752]]","[['2017/06/29', '2017/06/29', '2017/09/12', '2018/07/09', '2018/07/09', '2019/07/09', '2019/07/09']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Routine']]","[[92, 100, 100, 92, 100, 100, 100]]"
344,LUCKY DRAGON RESTAURANT,1827 RIVERSIDE AVE,44.96941,-93.24599,"[[47645, 193269, 245157]]","[['2017/03/16', '2018/03/01', '2019/02/28']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 94]]"
345,LUSH,990 CENTRAL AVE NE,44.99544,-93.24761,"[[47889, 216797, 265778, 274687, 265777, 324108]]","[['2017/08/10', '2018/08/09', '2018/09/25', '2018/11/14', '2019/08/08', '2019/09/19']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[98, 94, 96, 96, 82, 96]]"
346,MACKENZIE,918 HENNEPIN AVE,44.97638,-93.27769,"[[48097, 218535, 270802]]","[['2017/08/10', '2018/08/17', '2019/08/15']]","[['Routine', 'Routine', 'Routine']]","[[98, 96, 92]]"
347,MALABARI,414 1/2 CEDAR AVE S,44.96962,-93.2475,"[[199559, 251654, 253432, 251653, 311553]]","[['2018/05/15', '2018/06/26', '2018/07/18', '2019/05/15', '2019/07/19']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 96, 100, 88, 92]]"
348,MAMA SHEILA SOUL FOOD KITCHEN,3744 BLOOMINGTON AVE,44.93429,-93.25279,"[[266413, 281120, 299667, 308749, 311531, 281119]]","[['2018/11/27', '2019/02/06', '2019/04/18', '2019/05/21', '2019/06/26', '2019/12/17']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']]","[[58, 92, 96, 90, 96, 80]]"
349,MAMAS BAKERY PIZZA SALAD BAR,800 NICOLLET MALL,44.97564,-93.27385,"[[55023, 193945, 247121, 247120]]","[['2017/03/24', '2018/03/27', '2018/04/18', '2019/04/29']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[92, 98, 100, 100]]"
